AAA,-17.3526,-145.5100,M,Anaa Airport
AAC,31.0553,33.8280,L,El Arish International Airport
AAE,36.8268,7.8133,L,Annaba Rabah Bitat Airport
AAL,57.0948,9.8499,L,Aalborg Airport
AAN,24.2617,55.6092,L,Al Ain International Airport
AAP,-0.3745,117.2501,M,Aji Pangeran Tumenggung Pranoto International Airport
AAQ,45.0021,37.3473,M,Anapa Vityazevo Airport
AAR,56.3033,10.6183,L,Aarhus Airport
AAT,47.7499,88.0858,M,Altay Xuedu Airport
AAX,-19.5632,-46.9604,M,Romeu Zema Airport
AAY,16.1933,52.1742,M,Al Ghaydah International Airport
ABA,53.7400,91.3850,L,Abakan International Airport
ABB,6.2042,6.6653,L,Asaba International Airport
ABD,30.3679,48.2301,L,Abadan Ayatollah Jami International Airport
ABE,40.6518,-75.4428,M,Lehigh Valley International Airport
ABI,32.4113,-99.6819,M,Abilene Regional Airport
ABJ,5.2614,-3.9263,L,Félix-Houphouët-Boigny International Airport
ABK,6.7326,44.2413,M,Kebri Dahar Airport
ABL,67.1055,-157.8553,M,Ambler Airport
ABQ,35.0400,-106.6089,L,Albuquerque International Sunport
ABR,45.4491,-98.4218,M,Aberdeen Regional Airport
ABS,22.3759,31.6117,M,Abu Simbel Airport
ABT,20.2985,41.6362,M,King Saud Bin Abdulaziz (Al Baha) Airport
ABV,9.0068,7.2632,L,Nnamdi Azikiwe International Airport
ABX,-36.0668,146.9591,M,Albury Airport
ABY,31.5329,-84.1962,M,Southwest Georgia Regional Airport
ABZ,57.2019,-2.1978,L,Aberdeen International Airport
ACA,16.7571,-99.7531,L,General Juan N. Álvarez International Airport
ACC,5.6052,-0.1668,L,Kotoka International Airport
ACE,28.9455,-13.6052,L,César Manrique-Lanzarote Airport
ACH,47.4850,9.5608,M,Sankt Gallen Altenrhein Airport
ACI,49.7061,-2.2147,M,Alderney Airport
ACK,41.2531,-70.0602,M,Nantucket Memorial Airport
ACT,31.6113,-97.2305,M,Waco Regional Airport
ACV,40.9781,-124.1090,M,California Redwood Coast-Humboldt County Airport
ACX,25.0834,104.9608,M,Xingyi Wanfenglin Airport
ACY,39.4562,-74.5775,M,Atlantic City International Airport
ADA,36.9822,35.2804,L,Adana Şakirpaşa Airport
ADB,38.2924,27.1570,L,Adnan Menderes International Airport
ADD,8.9779,38.7993,L,Addis Ababa Bole International Airport
ADE,12.8296,45.0300,L,Aden International Airport
ADF,37.7314,38.4689,M,Adıyaman Airport
ADJ,31.9727,35.9916,L,Marka International (Amman Civil) Airport
ADK,51.8836,-176.6428,M,Adak Airport
ADL,-34.9475,138.5334,L,Adelaide International Airport
ADQ,57.7500,-152.4940,M,Kodiak Airport
ADU,38.3257,48.4244,M,Ardabil Airport
ADZ,12.5836,-81.7112,L,Gustavo Rojas Pinilla International Airport
AEB,23.7206,106.9600,M,Baise (Bose) Bama Airport
AEH,13.8470,20.8443,M,Abeche Airport
AEP,-34.5594,-58.4155,L,Aeroparque Jorge Newbery
AER,43.4499,39.9566,L,Sochi International Airport
AES,62.5604,6.1108,L,Ålesund Airport
AEU,25.8757,55.0330,M,Abu Musa Island Airport
AEX,31.3258,-92.5467,M,Alexandria International Airport
AEY,65.6566,-18.0720,L,Akureyri International Airport
AFA,-34.5883,-68.4039,M,Suboficial Ay Santiago Germano Airport
AFL,-9.8664,-56.1063,M,Piloto Osvaldo Marques Dias Airport
AFZ,36.1681,57.5952,M,Sabzevar National Airport
AGA,30.3225,-9.4120,L,Al Massira Airport
AGH,56.2961,12.8471,M,Ängelholm-Helsingborg Airport
AGP,36.6749,-4.4991,L,Málaga-Costa del Sol Airport
AGR,27.1580,77.9610,M,Agra Airport / Agra Air Force Station
AGS,33.3699,-81.9645,M,Augusta Regional At Bush Field
AGT,-25.4572,-54.8395,L,Guaraní International Airport
AGU,21.6996,-102.3184,L,Aguascalientes International Airport
AGX,10.8237,72.1760,M,Agatti Airport
AHA,22.9875,83.1961,M,Maa Mahamaya Airport
AHB,18.2404,42.6566,L,Abha International Airport
AHE,-14.4281,-146.2570,M,Ahe Airport
AHO,40.6321,8.2908,M,Alghero-Fertilia Airport
AIA,42.0525,-102.8040,M,Alliance Municipal Airport
AIN,70.6380,-159.9950,M,Wainwright Airport
AJA,41.9236,8.8029,M,Ajaccio Napoléon Bonaparte airport
AJF,29.7833,40.1009,L,Al-Jawf International Airport
AJI,39.6556,43.0257,M,Ağrı Airport
AJL,23.8406,92.6197,M,Lengpui Airport
AJN,-12.1310,44.4300,M,Ouani Airport
AJR,65.5903,19.2819,M,Arvidsjaur Airport
AJU,-10.9839,-37.0729,M,Aracaju - Santa Maria Airport
AKF,24.1787,23.3140,M,Kufra Airport
AKJ,43.6708,142.4470,M,Asahikawa Airport
AKL,-37.0120,174.7863,L,Auckland International Airport
AKN,58.6778,-156.6520,M,King Salmon Airport
AKP,68.1336,-151.7430,M,Anaktuvuk Pass Airport
AKR,7.2467,5.3010,M,Akure Airport
AKU,41.2625,80.2917,M,Aksu Hongqipo Airport
AKX,50.2481,57.2041,L,Aktobe International Airport
