Aachen Cathedral	50.77475	6.08392	1978
Aapravasi Ghat	-20.15861	57.50306	2006
Abbey Church of Saint-Savin-sur-Gartempe	46.56477	0.86597	1983
Abbey and Altenmünster of Lorsch	49.65389	8.56889	1991
Abbey of Fontenay	47.63966	4.38933	1981
Abbey of Reichenau	47.69874	9.06208	2000
Abbey of Saint Gall	47.42306	9.37722	1983
Abu Mena	30.84105	29.66349	1979
Acre	32.92611	35.08389	2001
Acropolis of Athens	37.97167	23.72611	1987
Aeolian Islands	38.49667	14.93583	2000
Aflaj Irrigation System of Oman	22.99889	57.53606	2006
Agave Landscape and Ancient Industrial Facilities of Tequila	20.62829	-103.76999	2006
Agra Fort	27.17958	78.0213	1983
Aisne-Marne American Cemetery and Memorial	49.07945	3.29143	2023
Ajanta Caves	20.55342	75.70047	1983
Al-Ahsa Oasis	25.42944	49.62194	2018
Aldabra	-9.41639	46.41639	1982
Alexander von Humboldt National Park	20.49675	-74.8579	2001
Aljafería	41.65649	-0.89708	1986
Alto Douro Wine Region	41.16575	-7.51774	2001
Amalfi Coast	40.63333	14.6	1997
Ambohimanga	-18.75917	47.56278	2001
Ancient City of Ping Yao	37.2014	112.1544	1997
Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata	20.92889	-11.62361	1996
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	49.0	15.0	2007
Ancient ferrous metallurgy sites of Burkina Faso	12.5878	-3.329	2019
Angkor	13.44088	103.85908	1992
Ani	40.5075	43.57278	2016
Anjar	33.72583	35.92972	1984
Antequera Dolmens Site	37.02333	-4.54806	2016
Antigua Guatemala	14.5565	-90.73381	1979
Antonine Wall	55.967	-4.067	1987
Anuradhapura	8.335	80.41083	1982
Aphrodisias	37.70833	28.72361	2017
Appian Way	41.84139	12.5325	2024
Aqueduct of Padre Tembleque	19.83639	-98.66222	2015
Arabian Oryx Sanctuary	19.7	57.0	1994
Area de Conservación Guanacaste World Heritage Site	10.85	-85.61667	1999
Arles, Roman and Romanesque Monuments	43.67764	4.63069	1981
Armenian Monastic Ensembles of Iran	38.97889	45.47333	2008
Arras Flying Services Memorial	50.28699	2.76042	2023
Arras Memorial	50.28698	2.76065	2023
Arslantepe	38.38194	38.36111	2021
Artists' Colony in Darmstadt	49.87543	8.6665	2021
Asante Traditional Buildings	6.40111	-1.62583	1980
Assevent French-German War Cemetery	50.2918	4.01853	2023
Assur	35.45667	43.2625	2003
Atlantic Forest South-East Reserves	-24.16667	-48.0	1999
Augustusburg and Falkenlust Palaces	50.8275	6.90806	1984
Auschwitz	50.03583	19.17833	1979
Australian Convict Sites	-33.37833	150.99444	2010
Axum	14.125	38.72152	1980
Ayutthaya Historical Park	14.35163	100.55751	1991
Aïr and Ténéré National Nature Reserve	18.0	9.0	1991
Aït Benhaddou	31.05	-7.13333	1987
Baalbek	34.00611	36.20861	1984
Babelsberg Palace	52.4076	13.0933	1990
Babelsberg Park	52.40539	13.09272	1990
Babylon	32.54178	44.43164	2019
Badain Jaran Desert	40.0725	102.21	2024
Bagan	21.1725	94.86	2019
Bahla Fort	22.9644	57.3007	1987
Bahrain Pearling Trail	26.25	50.61	2012
Bahá'í World Centre buildings	32.81378	34.98655	2008
Bale Mountains National Park	6.66667	39.6667	2023
Bam	29.10611	58.35694	2004
Bam Citadel	29.11686	58.36847	2004
Ban Chiang	17.54861	103.35833	1992
Banc d'Arguin National Park	20.23472	-16.10889	1989
Bandiagara Escarpment	14.41667	-3.31667	1989
Baroque Churches of the Philippines	14.58886	120.97535	1993
Bassari Country	12.59333	-12.84583	2012
Bat, Al-Khutm and Al-Ayn archaeological sites	23.27	56.745	1988
Batalha Monastery	39.65917	-8.82611	1983
Bath	51.38139	-2.35972	1987
Beaumont-Hamel Newfoundland Memorial	50.07384	2.64823	2023
Bedford House Cemetery	50.829	2.89142	2023
Beemster	52.55	4.9278	1999
Beit Guvrin National Park	31.61306	34.89833	2014
Beit She'arim National Park	32.70417	35.12806	2015
Belfries of Belgium and France	50.63527	3.51484	1999
Belize Barrier Reef	17.2625	-88.05278	1996
Belle-Motte French National Cemetery	50.40347	4.60306	2023
Belvedere on the Pfingstberg	52.4187	13.059	1990
Bergpark Wilhelmshöhe	51.3167	9.4	2013
Berks Cemetery Extension	50.73806	2.882	2023
Berlin Modernism Housing Estates	52.44833	13.45	2008
Bhimbetka rock shelters	22.93863	77.61438	2003
Białowieża Forest	52.75	23.95	1979
Bikini Atoll	11.6	165.4	2010
Birka and Hovgården	59.335	17.5425	1993
